method,limit,num_frames,snippet_frames,smooth_kernel,threshold_ratio,visual_backbone,i3d_checkpoint,i3d_num_classes,i3d_batch_size,alignment_model_name,alignment_image_batch_size,query_backend,qc_lambda,context_distance,proposal_k,proposal_method,min_proposal_snippets,require_overlap,novel_location_prefix_seconds,novel_location_seed,R@1_IoU_0.1,R@1_IoU_0.3,R@1_IoU_0.5,R@1_IoU_0.7,mIoU
baseline,full,32,16,5,0.75,i3d,e:\python\5405\project\outputs\models\i3d\rgb_imagenet.pt,400,8,google/siglip2-base-patch16-224,64,spacy,0.5,2,6,kmeans,0,True,10.0,0,0.7631720430107527,0.4798387096774194,0.2456989247311828,0.09435483870967742,0.32056583217528073
full,full,32,16,5,0.75,i3d,e:\python\5405\project\outputs\models\i3d\rgb_imagenet.pt,400,8,google/siglip2-base-patch16-224,64,spacy,0.5,2,6,kmeans,0,True,10.0,0,0.6209677419354839,0.49731182795698925,0.34623655913978496,0.17311827956989248,0.33298894481988434
