method,limit,num_frames,snippet_frames,smooth_kernel,threshold_ratio,visual_backbone,i3d_checkpoint,i3d_num_classes,i3d_batch_size,alignment_model_name,alignment_image_batch_size,query_backend,qc_lambda,context_distance,proposal_k,proposal_method,min_proposal_snippets,require_overlap,novel_location_prefix_seconds,novel_location_seed,R@1_IoU_0.1,R@1_IoU_0.3,R@1_IoU_0.5,R@1_IoU_0.7,mIoU
baseline,full,32,16,5,0.75,i3d,e:\python\5405\project\outputs\models\i3d\rgb_imagenet.pt,400,8,openai/clip-vit-base-patch32,64,spacy,0.5,2,6,kmeans,0,True,10.0,0,0.8559139784946237,0.3370967741935484,0.09193548387096774,0.030107526881720432,0.2618638457656836
full,full,32,16,5,0.75,i3d,e:\python\5405\project\outputs\models\i3d\rgb_imagenet.pt,400,8,openai/clip-vit-base-patch32,64,spacy,0.5,2,6,kmeans,0,True,10.0,0,0.5301075268817205,0.4166666666666667,0.28091397849462363,0.14166666666666666,0.2779620173561062
