method,limit,num_frames,snippet_frames,smooth_kernel,threshold_ratio,visual_backbone,i3d_checkpoint,i3d_num_classes,i3d_batch_size,alignment_model_name,alignment_image_batch_size,query_backend,qc_lambda,context_distance,proposal_k,proposal_method,min_proposal_snippets,require_overlap,novel_location_prefix_seconds,novel_location_seed,R@1_IoU_0.1,R@1_IoU_0.3,R@1_IoU_0.5,R@1_IoU_0.7,mIoU
baseline,full,32,16,5,0.75,i3d,e:\python\5405\project\outputs\models\i3d\rgb_imagenet.pt,400,8,openai/clip-vit-base-patch32,64,spacy,0.5,2,6,kmeans,0,True,0.0,0,0.896236559139785,0.4793010752688172,0.1771505376344086,0.060215053763440864,0.32528540193972233
query_decomp,full,32,16,5,0.75,i3d,e:\python\5405\project\outputs\models\i3d\rgb_imagenet.pt,400,8,openai/clip-vit-base-patch32,64,spacy,0.5,2,6,kmeans,0,True,0.0,0,0.8954301075268817,0.4774193548387097,0.16720430107526882,0.058333333333333334,0.3224865701583101
bu_pg,full,32,16,5,0.75,i3d,e:\python\5405\project\outputs\models\i3d\rgb_imagenet.pt,400,8,openai/clip-vit-base-patch32,64,spacy,0.5,2,6,kmeans,0,True,0.0,0,0.6408602150537634,0.5161290322580645,0.38629032258064516,0.15456989247311828,0.3434668468149345
full,full,32,16,5,0.75,i3d,e:\python\5405\project\outputs\models\i3d\rgb_imagenet.pt,400,8,openai/clip-vit-base-patch32,64,spacy,0.5,2,6,kmeans,0,True,0.0,0,0.6204301075268818,0.5088709677419355,0.3825268817204301,0.1543010752688172,0.33710941054741306
