method,limit,num_frames,snippet_frames,smooth_kernel,threshold_ratio,visual_backbone,i3d_checkpoint,i3d_num_classes,i3d_batch_size,alignment_model_name,alignment_image_batch_size,query_backend,qc_lambda,context_distance,proposal_k,proposal_method,min_proposal_snippets,require_overlap,novel_location_prefix_seconds,novel_location_seed,R@1_IoU_0.1,R@1_IoU_0.3,R@1_IoU_0.5,R@1_IoU_0.7,mIoU
baseline,full,32,16,5,0.75,i3d,e:\python\5405\project\outputs\models\i3d\rgb_imagenet.pt,400,8,google/siglip2-base-patch16-224,64,spacy,0.5,2,6,kmeans,0,True,0.0,0,0.7897849462365591,0.5723118279569892,0.317741935483871,0.11317204301075269,0.36072298068895337
full,full,32,16,5,0.75,i3d,e:\python\5405\project\outputs\models\i3d\rgb_imagenet.pt,400,8,google/siglip2-base-patch16-224,64,spacy,0.5,2,6,kmeans,0,True,0.0,0,0.668010752688172,0.5634408602150538,0.43413978494623656,0.18010752688172044,0.374689493076566
